deal_id,lead_id,deal_created_at,agent_id,value,status
55812,54232,2019-01-11T15:54:16.000Z,5,10000,lost
58320,55465,2019-01-23T17:35:26.000Z,3,10000,lost
57681,56028,2019-01-21T09:48:42.000Z,3,10000,lost
59949,59084,2019-01-31T08:47:49.000Z,3,10000,lost
61072,56369,2019-02-05T18:08:12.000Z,5,10000,lost
63619,61213,2019-02-18T18:21:20.000Z,5,10000,lost
60913,58517,2019-02-05T09:54:27.000Z,3,10000,lost
65427,61275,2019-02-25T10:07:40.000Z,5,3000,lost
63517,62114,2019-02-18T12:56:55.000Z,5,10000,lost
57127,56650,2019-01-17T17:09:16.000Z,1,10000,lost
57076,56108,2019-01-17T13:38:11.000Z,3,10000,lost
55843,54807,2019-01-11T19:05:58.000Z,2,10000,lost
62158,60351,2019-02-11T14:48:49.000Z,2,10000,lost
60328,57873,2019-02-01T19:48:33.000Z,5,10000,lost
58461,55978,2019-01-24T10:45:16.000Z,2,10000,lost
61269,59319,2019-02-06T13:31:13.000Z,3,10000,lost
62589,61342,2019-02-13T10:30:36.000Z,2,10000,lost
68487,61547,2019-03-09T14:06:01.000Z,5,10000,lost
59176,57183,2019-01-28T09:37:16.000Z,3,10000,lost
58765,53786,2019-01-25T17:25:51.000Z,5,10000,lost
62071,59073,2019-02-11T08:41:14.000Z,3,10000,lost
63457,62798,2019-02-18T10:12:44.000Z,5,10000,lost
56480,55535,2019-01-15T09:53:41.000Z,2,10000,lost
64582,58705,2019-02-21T14:28:58.000Z,1,10000,lost
58716,56691,2019-01-25T13:44:51.000Z,2,10000,lost
62192,59048,2019-02-11T16:49:13.000Z,1,10000,lost
56528,55211,2019-01-15T11:27:43.000Z,3,10000,lost
58761,60327,2019-01-25T17:01:53.000Z,5,10000,lost
58761,57531,2019-01-25T17:01:53.000Z,5,10000,lost
63853,63356,2019-02-19T18:47:02.000Z,2,10000,lost
61433,58009,2019-02-07T08:53:43.000Z,3,10000,lost
60818,58970,2019-02-04T17:42:49.000Z,5,10000,lost
66180,63058,2019-02-27T16:16:10.000Z,1,10000,lost
71558,58533,2019-03-22T18:13:45.000Z,3,10000,lost
60703,53878,2019-02-04T10:44:52.000Z,3,10000,lost
65494,62721,2019-02-25T13:47:18.000Z,2,10000,lost
71452,65249,2019-03-22T10:27:38.000Z,5,10000,lost
56219,54896,2019-01-14T08:09:00.000Z,3,10000,lost
63844,55391,2019-02-19T16:11:14.000Z,3,10000,lost
61518,60902,2019-02-07T14:49:01.000Z,3,10000,lost
66455,57149,2019-02-28T15:24:52.000Z,1,10000,lost
57535,54504,2019-01-20T10:29:19.000Z,2,10000,lost
58181,55621,2019-01-23T10:07:11.000Z,5,10000,lost
60044,58048,2019-01-31T15:32:07.000Z,3,10000,lost
62448,59664,2019-02-12T16:50:44.000Z,2,10000,lost
71022,62299,2019-03-20T11:44:13.000Z,3,10000,lost
62816,62223,2019-02-14T10:16:09.000Z,3,10000,lost
66059,62498,2019-02-27T10:13:33.000Z,2,10000,lost
70611,64536,2019-03-18T17:29:58.000Z,3,10000,lost
75598,55487,2019-04-09T12:48:16.000Z,3,10000,lost
58319,55465,2019-01-23T17:35:25.000Z,3,15000,lost
73073,62807,2019-03-29T09:59:19.000Z,4,10000,lost
64916,61985,2019-02-22T18:44:23.000Z,5,3000,lost
58314,57342,2019-01-23T17:22:03.000Z,2,10000,lost
67726,65930,2019-03-06T10:39:11.000Z,3,10000,lost
66337,63454,2019-02-28T09:21:50.000Z,3,10000,lost
63061,57744,2019-02-15T13:17:14.000Z,3,10000,lost
66234,61621,2019-02-27T18:43:26.000Z,3,10000,lost
71562,62665,2019-03-22T18:30:02.000Z,3,10000,lost
66842,65155,2019-03-02T11:39:25.000Z,2,10000,lost
76107,63569,2019-04-11T08:51:38.000Z,3,10000,lost
69739,65775,2019-03-14T09:51:56.000Z,3,10000,lost
74023,64793,2019-04-02T15:57:57.000Z,5,10000,lost
72940,64034,2019-03-28T16:19:13.000Z,3,10000,lost
80833,62096,2019-05-06T14:23:14.000Z,2,10000,lost
67567,62117,2019-03-05T16:52:09.000Z,2,10000,lost
71316,58104,2019-03-21T16:53:53.000Z,1,10000,lost
63005,56369,2019-02-15T09:01:52.000Z,5,10000,won
59222,54393,2019-01-28T11:48:03.000Z,5,10000,lost
76006,61850,2019-04-10T17:18:02.000Z,1,10000,lost
63830,61389,2019-02-19T14:23:39.000Z,2,10000,lost
59853,56813,2019-01-30T18:07:07.000Z,3,10000,lost
56498,55021,2019-01-15T10:26:32.000Z,3,10000,lost
57592,55787,2019-01-20T18:13:15.000Z,2,10000,lost
70891,57122,2019-03-19T18:28:42.000Z,3,10000,lost
57841,55621,2019-01-21T20:20:27.000Z,5,10000,lost
62191,60539,2019-02-11T16:47:31.000Z,4,10000,lost
66119,54923,2019-02-27T13:41:16.000Z,3,10000,lost
59964,55753,2019-01-31T09:26:23.000Z,1,0,won
61723,60700,2019-02-08T15:43:10.000Z,2,10000,lost
72830,59899,2019-03-28T10:17:59.000Z,3,10000,lost
66739,55095,2019-03-01T17:15:17.000Z,3,10000,lost
64331,60036,2019-02-20T15:56:00.000Z,2,10000,lost
63774,56325,2019-02-19T10:57:50.000Z,5,10000,lost
62585,56130,2019-02-13T10:05:36.000Z,2,10000,lost
69995,61242,2019-03-15T11:13:27.000Z,3,10000,lost
62111,54639,2019-02-11T11:00:41.000Z,3,10000,lost
57059,56108,2019-01-17T12:28:12.000Z,3,10000,lost
65810,64029,2019-02-26T13:18:43.000Z,1,10000,lost
60931,55425,2019-02-05T10:50:21.000Z,2,10000,lost
67756,58705,2019-03-06T12:32:24.000Z,1,10000,lost
56630,54592,2019-01-15T17:04:10.000Z,3,10000,lost
62497,61440,2019-02-12T19:38:05.000Z,3,10000,lost
73703,65780,2019-04-01T15:23:50.000Z,4,10000,lost
61694,60978,2019-02-08T13:47:38.000Z,2,10000,lost
60785,58994,2019-02-04T15:50:59.000Z,2,10000,lost
59782,55095,2019-01-30T13:31:34.000Z,3,10000,lost
66462,63302,2019-02-28T15:43:20.000Z,4,10000,lost
75520,57873,2019-04-09T08:43:01.000Z,5,10000,lost
66069,65407,2019-02-27T10:26:33.000Z,2,10000,lost
